Fleet #1
Agents 9
A 2 5 0 1 0.5 0.39
B 2 2 0 1 0.5 0.39
C 9 6 0 1 0.5 0.39
D 9 5 0 1 0.5 0.39
E 9 4 0 1 0.5 0.39
F 4 3 0 1 0.5 0.39
J 4 2 0 1 0.5 0.39
H 4 1 0 1 0.5 0.39
G 0 3.5 0 1 0.5 0.0
Fleet #2
Agents 9
a 10 5 0 1 0.5 0.39
b 10 2 0 1 0.5 0.39
c 8 6 0 1 0.5 0.39
d 8 5 0 1 0.5 0.39
e 8 4 0 1 0.5 0.39
f 8 3 0 1 0.5 0.39
j 8 2 0 1 0.5 0.39
h 8 1 0 1 0.5 0.39
g 12 3.5 0 1 0.5 0.0
Comms_1 [0 0 1 1 1 0 0 0 1; 0 0 0 0 0 1 1 1 1; 1 0 0 0 0 0 0 0 0; 1 0 0 0 0 0 0 0 0; 1 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0; 1 1 0 0 0 0 0 0 0]
Jams_1 [1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 0 0 0 0 0 0 0 0 0]
Comms_2 [0 0 1 1 1 0 0 0 1; 0 0 0 0 0 1 1 1 1; 1 0 0 0 0 0 0 0 0; 1 0 0 0 0 0 0 0 0; 1 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0; 1 1 0 0 0 0 0 0 0]
Jams_2 [1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 1 1 1 1 1 1 1 1 1; 0 0 0 0 0 0 0 0 0]
